threshold,accuracy,balanced_accuracy,precision,recall,f1,combined_score,predicted_control,predicted_depression
0.35000000000000003,0.7090909090909091,0.693798449612403,0.4,0.6666666666666666,0.5,0.5968992248062015,35,20
0.36000000000000004,0.7090909090909091,0.693798449612403,0.4,0.6666666666666666,0.5,0.5968992248062015,35,20
0.37000000000000005,0.6909090909090909,0.6521317829457365,0.3684210526315789,0.5833333333333334,0.45161290322580644,0.5518723430857715,36,19
0.38000000000000006,0.7090909090909091,0.6637596899224807,0.3888888888888889,0.5833333333333334,0.4666666666666667,0.5652131782945737,37,18
0.39000000000000007,0.7090909090909091,0.6637596899224807,0.3888888888888889,0.5833333333333334,0.4666666666666667,0.5652131782945737,37,18
0.4000000000000001,0.7272727272727273,0.6753875968992249,0.4117647058823529,0.5833333333333334,0.4827586206896552,0.5790731087944401,38,17
0.4100000000000001,0.7636363636363637,0.6986434108527132,0.4666666666666667,0.5833333333333334,0.5185185185185185,0.6085809646856158,40,15
0.42000000000000004,0.7636363636363637,0.6986434108527132,0.4666666666666667,0.5833333333333334,0.5185185185185185,0.6085809646856158,40,15
0.43000000000000005,0.7454545454545455,0.6569767441860466,0.42857142857142855,0.5,0.46153846153846156,0.559257602862254,41,14
0.44000000000000006,0.7454545454545455,0.6569767441860466,0.42857142857142855,0.5,0.46153846153846156,0.559257602862254,41,14
0.45000000000000007,0.7454545454545455,0.626937984496124,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5218023255813954,43,12
0.4600000000000001,0.7636363636363637,0.6385658914728682,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.5366742500842602,44,11
0.4700000000000001,0.7636363636363637,0.6385658914728682,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.5366742500842602,44,11
0.4800000000000001,0.7454545454545455,0.5968992248062015,0.4,0.3333333333333333,0.36363636363636365,0.4802677942212826,45,10
0.49000000000000005,0.7454545454545455,0.5968992248062015,0.4,0.3333333333333333,0.36363636363636365,0.4802677942212826,45,10
0.5000000000000001,0.7454545454545455,0.5968992248062015,0.4,0.3333333333333333,0.36363636363636365,0.4802677942212826,45,10
0.5100000000000001,0.7636363636363637,0.6085271317829457,0.4444444444444444,0.3333333333333333,0.38095238095238093,0.4947397563676633,46,9
0.5200000000000001,0.7818181818181819,0.6201550387596899,0.5,0.3333333333333333,0.4,0.510077519379845,47,8
0.5300000000000001,0.7818181818181819,0.6201550387596899,0.5,0.3333333333333333,0.4,0.510077519379845,47,8
0.5400000000000001,0.7818181818181819,0.6201550387596899,0.5,0.3333333333333333,0.4,0.510077519379845,47,8
0.5500000000000002,0.7636363636363637,0.5784883720930232,0.42857142857142855,0.25,0.3157894736842105,0.44713892288861684,48,7
0.5600000000000002,0.7636363636363637,0.5784883720930232,0.42857142857142855,0.25,0.3157894736842105,0.44713892288861684,48,7
0.5700000000000002,0.7818181818181819,0.5901162790697674,0.5,0.25,0.3333333333333333,0.4617248062015503,49,6
0.5800000000000002,0.8,0.6017441860465116,0.6,0.25,0.35294117647058826,0.47734268125854995,50,5
0.5900000000000002,0.8181818181818182,0.6133720930232558,0.75,0.25,0.375,0.4941860465116279,51,4
0.6000000000000002,0.8181818181818182,0.6133720930232558,0.75,0.25,0.375,0.4941860465116279,51,4
0.6100000000000001,0.8181818181818182,0.6133720930232558,0.75,0.25,0.375,0.4941860465116279,51,4
0.6200000000000001,0.8181818181818182,0.6133720930232558,0.75,0.25,0.375,0.4941860465116279,51,4
0.6300000000000001,0.8181818181818182,0.6133720930232558,0.75,0.25,0.375,0.4941860465116279,51,4
0.6400000000000001,0.8181818181818182,0.6133720930232558,0.75,0.25,0.375,0.4941860465116279,51,4
0.6500000000000001,0.8,0.5717054263565892,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.41918604651162794,52,3
0.6600000000000001,0.8181818181818182,0.5833333333333334,1.0,0.16666666666666666,0.2857142857142857,0.43452380952380953,53,2
0.6700000000000002,0.8181818181818182,0.5833333333333334,1.0,0.16666666666666666,0.2857142857142857,0.43452380952380953,53,2
0.6800000000000002,0.8,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,0.34775641025641024,54,1
0.6900000000000002,0.8,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,0.34775641025641024,54,1
0.7000000000000002,0.8,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,0.34775641025641024,54,1
0.7100000000000002,0.8,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,0.34775641025641024,54,1
0.7200000000000002,0.8,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,0.34775641025641024,54,1
0.7300000000000002,0.8,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,0.34775641025641024,54,1
0.7400000000000002,0.8,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,0.34775641025641024,54,1
0.7500000000000002,0.8,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,0.34775641025641024,54,1
0.7600000000000002,0.8,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,0.34775641025641024,54,1
0.7700000000000002,0.8,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,0.34775641025641024,54,1
0.7800000000000001,0.8,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,0.34775641025641024,54,1
0.7900000000000001,0.8,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,0.34775641025641024,54,1
0.8000000000000002,0.8,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,0.34775641025641024,54,1
0.8100000000000002,0.8,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,0.34775641025641024,54,1
0.8200000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,0.25,55,0
0.8300000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,0.25,55,0
0.8400000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,0.25,55,0
0.8500000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,0.25,55,0
0.8600000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,0.25,55,0
0.8700000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,0.25,55,0
0.8800000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,0.25,55,0
0.8900000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,0.25,55,0
0.9000000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,0.25,55,0
0.9100000000000003,0.7818181818181819,0.5,0.0,0.0,0.0,0.25,55,0
0.9200000000000003,0.7818181818181819,0.5,0.0,0.0,0.0,0.25,55,0
0.9300000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,0.25,55,0
0.9400000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,0.25,55,0
0.9500000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,0.25,55,0
